alpha,defense,attack,n,accuracy_mean,accuracy_std,avg_rank
1,Mean,ALIE,5,0.49426000,0.00389654,2.2500
1,Mean,FangAttack,5,0.48856000,0.00703513,2.2500
1,Mean,MinMax,5,0.50494000,0.00590153,2.2500
1,Mean,MinSum,5,0.50500000,0.00492494,2.2500
1,NormClipping,ALIE,5,0.25268000,0.00695032,6.0000
1,NormClipping,FangAttack,5,0.22666000,0.00771090,6.0000
1,NormClipping,MinMax,5,0.24862000,0.00645112,6.0000
1,NormClipping,MinSum,5,0.24736000,0.00625883,6.0000
1,MultiKrum,ALIE,5,0.39588000,0.00743620,4.0000
1,MultiKrum,FangAttack,5,0.37180000,0.00833367,4.0000
1,MultiKrum,MinMax,5,0.48690000,0.00836331,4.0000
1,MultiKrum,MinSum,5,0.47712000,0.01119518,4.0000
1,FLTrust,ALIE,3,0.39173333,0.01867146,4.5000
1,FLTrust,FangAttack,3,0.37683333,0.01916151,4.5000
1,FLTrust,MinMax,3,0.41900000,0.01175925,4.5000
1,FLTrust,MinSum,3,0.41563333,0.01605003,4.5000
1,FLDetector,ALIE,5,0.47956000,0.00584919,3.2500
1,FLDetector,FangAttack,5,0.28536000,0.04419551,3.2500
1,FLDetector,MinMax,5,0.50582000,0.00756089,3.2500
1,FLDetector,MinSum,5,0.50470000,0.00273861,3.2500
1,CARAT,ALIE,3,0.51330000,0.01747598,1.0000
1,CARAT,FangAttack,3,0.54310000,0.01275265,1.0000
1,CARAT,MinMax,3,0.54350000,0.01464001,1.0000
1,CARAT,MinSum,3,0.54696667,0.01431095,1.0000
0.5,Mean,ALIE,5,0.47616000,0.00733812,2.2500
0.5,Mean,FangAttack,5,0.47532000,0.01014727,2.2500
0.5,Mean,MinMax,5,0.48876000,0.00322924,2.2500
0.5,Mean,MinSum,5,0.48882000,0.00521987,2.2500
0.5,NormClipping,ALIE,5,0.23730000,0.00530707,6.0000
0.5,NormClipping,FangAttack,5,0.20644000,0.01409390,6.0000
0.5,NormClipping,MinMax,5,0.23276000,0.00395765,6.0000
0.5,NormClipping,MinSum,5,0.22922000,0.00502464,6.0000
0.5,MultiKrum,ALIE,5,0.37000000,0.00808857,4.0000
0.5,MultiKrum,FangAttack,5,0.33046000,0.01204504,4.0000
0.5,MultiKrum,MinMax,5,0.46590000,0.01092978,4.0000
0.5,MultiKrum,MinSum,5,0.46452000,0.00795971,4.0000
0.5,FLTrust,ALIE,3,0.34520000,0.00844452,4.5000
0.5,FLTrust,FangAttack,3,0.34223333,0.00943098,4.5000
0.5,FLTrust,MinMax,3,0.39503333,0.00271539,4.5000
0.5,FLTrust,MinSum,3,0.39493333,0.00366924,4.5000
0.5,FLDetector,ALIE,5,0.45302000,0.00745299,3.2500
0.5,FLDetector,FangAttack,5,0.27768000,0.01245982,3.2500
0.5,FLDetector,MinMax,5,0.48854000,0.00531724,3.2500
0.5,FLDetector,MinSum,5,0.49008000,0.00693988,3.2500
0.5,CARAT,ALIE,3,0.50150000,0.01129070,1.0000
0.5,CARAT,FangAttack,3,0.51806667,0.00785005,1.0000
0.5,CARAT,MinMax,3,0.53640000,0.01120893,1.0000
0.5,CARAT,MinSum,3,0.54096667,0.00295691,1.0000
